科目コード,分野,,科目名,一般/専門,必須/選択,一般,,,,,,留学生,,,,,,,,,,,,,,,,,,,,,,,,
,主,副,,,,情報処理技術学科,情報システム学科,未来創成情報学科,ITメディア学科,"メディア
コミュニケーション・スポーツ学科",ビジネスライセンス学科,情報処理技術学科,情報システム学科,グローバルITメディア学科,"メディア
コミュニケーション・スポーツ学科",天神校,大橋校,共通,一般/留学生,流用可否,シラバス作成担当,状況,実施Q,全コマ数,科目の種類,単位区分,単位数,授業の方法,開講学期,学年,学科・コース,,,,状況,シラバス担当者
列1,列2,列3,科目名,列5,列6,列7,列8,列9,列10,列11,列12,列13,列14,列15,列16,天神校,大橋校,共通,列17,流用可否,シラバス作成担当者,状況,列4,列43,列422,列423,列424,列425,列426,列427,列428,列20,,,未着手,宮本先生（植田）
1,ビジネス,情報社会,情報社会学,一般,選択,1,1,1,1,1,1,0,0,0,0,,,○,,○,,未着手,①,8,,,,,,,,,,,25%,鴨川（植田）
2,ビジネス,プレゼン力,プレゼンテーション,一般,選択,2,2,2,2,2,0,0,0,0,0,,,○,,,,未着手,①②,,,,,,,,,,,,50%,フレミング先生（植田）
3,ビジネス,ビジネス,ビジネスマナー,一般,選択,0,0,0,0,0,0,0,4,0,4,,,○,,,,未着手,,,,,,,,,,,,,75%,植田
4,ビジネス,ライセンス,ビジネス検定Ⅰ,一般,必須,0,0,0,2,2,2,0,0,0,0,,○,,,,宮本先生（植田）,0.5,①②,16,,,,,,,,,,,100%,岡本先生（植田）
5,ビジネス,ライセンス,ビジネス検定Ⅱ,一般,必須,0,0,0,2,2,2,0,0,0,0,,○,,,,宮本先生（植田）,未着手,③④,16,,,,,,,,,,,校正中,内藤先生（植田）
6,ビジネス,ライセンス,簿記検定Ⅰ,一般,選択,0,0,0,0,0,4,0,0,0,0,,○,,,○,,未着手,①②,32,,,,,,,,,,,完成,NDS
7,ビジネス,ライセンス,簿記検定Ⅱ,一般,選択,0,0,0,0,0,4,0,0,0,0,,○,,,○,,未着手,③④,32,,,,,,,,,,,,岡本先生（植田）
8,ビジネス,メディカル,モチベーションマネージメント,一般,選択,0,0,0,0,↓,0,0,0,0,0,,○,,,,フレミング先生（植田）,未着手,①②③④,,,,,,,,,,,,,
9,ビジネス,メディカル,アスリート養成,一般,選択,0,0,0,0,8,0,0,0,0,0,,○,,,,フレミング先生（植田）,未着手,①②③④,,,,,,,,,,,,,
10,ビジネス,メディカル,トレーナー養成,一般,選択,0,0,0,0,8,0,0,0,0,0,,○,,,,フレミング先生（植田）,未着手,①②③④,,,,,,,,,,,,,
11,ビジネス,グローバル,言語知識Ⅰ（N3),一般,必須,0,0,0,0,0,0,2,2,2,2,,,○,,,※日本語※,未着手,,,,,,,,,,,,,,
12,ビジネス,グローバル,言語知識Ⅱ（N3),一般,必須,0,0,0,0,0,0,2,2,2,2,,,○,,,※日本語※,未着手,,,,,,,,,,,,,,
13,ビジネス,グローバル,聴解・読解Ⅰ（N3),一般,選択,0,0,0,0,0,0,2,2,2,2,,,○,,,※日本語※,未着手,,,,,,,,,,,,,,
14,ビジネス,グローバル,聴解・読解Ⅱ（N3),一般,選択,0,0,0,0,0,0,2,2,2,2,,,○,,,※日本語※,未着手,,,,,,,,,,,,,,
